CODE_COM;APL_EHPA;APL_RA;APL_SAPA
31240;67674.26;156.54;184.95
31248;103114.68;425.18;1639.44
31249;63168.45;204.87;209.37
31251;35878.9;330.64;501.03
31253;84508.21;320.89;1589.05
31254;106954.88;395.08;1258.4
31256;59463.58;97.33;116.22
31260;80562.54;330.64;1191.71
31267;85251.04;223.44;1191.96
31268;78880.78;202.59;1367.7
31270;148044.55;202.59;1696.64
31271;43039.14;151.61;167.13
31274;110101.11;202.59;1383.36
31278;103205.58;202.59;1383.36
31279;59497.9;0.0;508.04
31283;39908.7;223.44;960.29
31287;91644.06;520.08;1610.4
31289;96419.17;95.4;226.09
31291;89535.84;341.81;1576.53
31292;70817.79;330.64;732.56
31293;87879.51;421.57;1243.36
31297;81896.23;317.56;1257.96
31300;133718.53;202.59;1383.36
31302;97509.94;95.4;1166.63
31304;55216.39;792.8;711.77
31305;140881.39;95.4;1325.77
31311;77919.75;264.18;1147.3
31313;88074.42;0.0;426.21
31317;85508.69;253.54;827.67
31319;43070.84;30.1;569.78
31327;82909.47;330.64;432.39
31331;53254.38;519.03;533.64
31333;54524.99;223.44;1244.65
31334;107023.54;544.33;1943.69
31335;50326.28;0.0;0.0
31341;78291.88;397.32;1310.37
31346;68015.97;264.18;1064.15
31352;77830.05;487.37;1345.31
31357;52667.58;0.0;43.06
31360;128048.75;0.0;18.9
31362;85232.41;223.44;894.47
31367;74440.18;330.64;445.5
31369;128308.78;0.0;825.97
31370;51567.22;330.64;673.83
31371;107604.34;1235.3;819.74
31373;66719.63;0.0;576.27
31377;69338.37;850.23;453.04
31378;104995.91;202.59;1684.57
31379;76228.23;30.1;722.84
31383;69838.39;264.18;1010.76
31385;98001.81;95.4;1472.06
31387;56272.81;330.64;476.99
31388;60901.58;269.36;538.5
31392;49951.25;204.87;195.99
31393;61371.28;1111.11;705.85
31395;105512.23;595.35;1673.94
31396;92068.44;179.81;255.78
31399;109352.4;544.33;2233.63
31400;95022.55;1235.3;933.54
31402;75918.94;360.85;1100.72
31405;164796.54;0.0;1394.52
31413;64796.77;0.0;337.4
31414;46692.0;330.64;841.88
31416;96060.76;267.51;988.25
31418;80975.23;284.51;1351.79
31421;110226.97;425.18;1654.61
31424;79939.35;317.56;1494.59
31428;45432.18;330.64;635.23
31432;51031.29;0.0;2588.47
31433;125858.77;425.18;1744.32
31438;63760.49;51.02;711.18
31439;55199.97;204.87;178.93
31444;86547.19;0.0;266.28
31445;96209.55;508.46;1311.41
31446;119982.42;395.08;1528.07
31447;41660.51;0.0;18.9
31451;107592.57;1235.3;1008.7
31454;71039.18;253.54;1181.02
31458;129642.99;425.18;1831.63
31462;98731.17;615.5;1492.38
31469;59283.87;223.44;1020.52
31473;62414.84;128.69;381.99
31475;67402.7;110.57;517.54
31479;76599.27;0.0;576.27
31480;60450.06;360.85;1066.81
31487;118978.07;202.59;1363.47
