CODGEO;LIBGEO;MED15;TP6015
02422;Lesquielles-Saint-Germain;17608;
02423;Leuilly-sous-Coucy;18699;
02424;Leury;21792;
02425;Leuze;16773;
02426;Levergies;20420;
02427;Lhuys;16307;
02428;Licy-Clignon;;
02429;Lierval;21070;
02430;Liesse-Notre-Dame;18311;
02431;Liez;20104;
02432;Limé;17995;
02433;Lislet;18936;
02434;Lizy;20229;
02435;Logny-lès-Aubenton;;
02438;Longpont;19646;
02439;Les Septvallons;19829;
02440;Lor;16643;
02441;Louâtre;20428;
02442;Loupeigne;;
02443;Lucy-le-Bocage;21634;
02444;Lugny;17993;
02445;Luzoir;19521;
02446;Ly-Fontaine;21872;
02447;Maast-et-Violaine;17750;
02448;Mâchecourt;16391;
02449;Macogny;;
02450;Macquigny;16981;
02451;Magny-la-Fosse;18106;
02452;Maissemy;21400;
02453;Maizy;19004;
02454;La Malmaison;19758;
02455;Malzy;17985;
02456;Manicamp;18611;
02457;Marchais;18819;
02458;Dhuys et Morin-en-Brie;20525;
02459;Marcy;23806;
02460;Marcy-sous-Marle;19099;
02461;Marest-Dampcourt;20282;
02462;Mareuil-en-Dôle;19542;
02463;Marfontaine;;
02464;Margival;20097;
02465;Marigny-en-Orxois;21619;
02466;Marizy-Sainte-Geneviève;22057;
02467;Marizy-Saint-Mard;;
02468;Marle;16260;28
02469;Marly-Gomont;18075;
02470;Martigny;17010;
02471;Martigny-Courpierre;19173;
02472;Mauregny-en-Haye;18683;
02473;Mayot;18263;
02474;Mennessis;20339;
02475;Menneville;22284;
02476;Mennevret;17058;
02477;Mercin-et-Vaux;22139;
02478;Merlieux-et-Fouquerolles;20019;
02479;Merval;;
02480;Mesbrecourt-Richecourt;20213;
02481;Mesnil-Saint-Laurent;25079;
02482;Meurival;;
02483;Mézières-sur-Oise;20574;
02484;Mézy-Moulins;21010;
02485;Missy-aux-Bois;24445;
02486;Missy-lès-Pierrepont;18665;
02487;Missy-sur-Aisne;22109;
02488;Molain;20045;
02489;Molinchart;22595;
02490;Monampteuil;25498;
02491;Monceau-le-Neuf-et-Faucouzy;18121;
02492;Monceau-lès-Leups;19587;
02493;Monceau-le-Waast;19372;
02494;Monceau-sur-Oise;19007;
02495;Mondrepuis;18753;
02496;Monnes;22215;
02497;Mons-en-Laonnois;21350;
02498;Montaigu;19051;
02499;Montbavin;;
02500;Montbrehain;17676;
02501;Montchâlons;;
02502;Montcornet;15943;
02503;Mont-d'Origny;17669;
02504;Montescourt-Lizerolles;18528;
02505;Montfaucon;20988;
02506;Montgobert;23310;
02507;Montgru-Saint-Hilaire;;
02508;Monthenault;21498;
02509;Monthiers;20820;
02510;Monthurel;21844;
02511;Montigny-en-Arrouaise;18178;
02512;Montigny-l'Allier;21586;
02513;Montigny-le-Franc;18773;
02514;Montigny-Lengrain;19990;
02515;Montigny-lès-Condé;;
