"LIB_MOD";"CODGEO";"P08_SAL15P";"P08_HSAL15P_CDI";"P08_HSAL15P_CDD";"P08_FSAL15P_CDI";"P08_FSAL15P_CDD";"P13_SAL15P";"P13_HSAL15P_CDI";"P13_HSAL15P_CDD";"P13_FSAL15P_CDI";"P13_FSAL15P_CDD";"P18_SAL15P";"P18_HSAL15P_CDI";"P18_HSAL15P_CDD";"P18_FSAL15P_CDI";"P18_FSAL15P_CDD";"CDI_08_%";"CDD_08_%";"CDI_13_%";"CDD_13_%";"CDI_18_%";"CDD_18_%";"CDI_13_18_%";"CDD_13_18_%"
"Drancy";93029;24381.8161767545;11376.8442767299;967.070980531985;9952.41628545542;1018.26211627783;25034.1985425124;11320.1457103589;1112.92593152333;10174.5849149636;1277.33883991619;25136.6571891415;11154.2142213374;1228.89748267386;10040.2630192567;1406.84484082074;87;8;86;10;84;10;-2;0
"Dugny";93030;4202.28977060993;1849.29842914512;176.89424988717;1757.04194249305;222.330618802205;3944.39643523165;1844.22790300391;134.029528920824;1564.52852361968;213.796648594055;3819.07675047106;1723.79326932532;183.977324800784;1492.00126675313;245.332572727305;86;10;86;9;84;11;-2;22
"Épinay-sur-Seine";93031;18749.3628947969;8369.58057523054;619.062356007041;7669.14954007537;1083.36099734183;18940.5942266586;8414.70586116538;713.761776608368;7883.02790729305;1048.88943787134;19104.8243414075;7940.38515827072;1097.58956260767;7603.98218413501;1325.97387338683;86;9;86;9;81;13;-6;44
"Gagny";93032;15620.1589540316;6725.11163540643;421.561896749039;7129.99176936161;687.586999659945;15579.9675587292;6621.22726350318;505.592033883736;7004.66846022216;748.630353887511;15336.4231434907;6575.50831704276;513.964403373099;6837.88792331718;725.416297773098;89;7;87;8;87;8;0;0
"Gournay-sur-Marne";93033;2563;1095;68;1188;94;2702;1161;74;1253;108;2772;1224;64;1269;101;89;6;89;7;90;6;1;-14
"L'Île-Saint-Denis";93039;2587.73911185474;1057.38242618166;122.651567701027;1112.47398875332;159.880165981933;2509.34604711289;1032.98717637954;104.456390780641;1050.62014240873;165.634466682939;2751.70738661314;1116.00744793271;144.759135594802;1131.11935745056;199.428207743457;84;11;83;11;82;13;-1;18
"Les Lilas";93045;8903.50419761198;3440.06760780084;448.951133613827;4149.40757413588;556.944521808129;8956.79178679745;3538.81926078301;505.070467576322;4021.01402950908;565.617693167085;9094.86594964081;3593.67963845687;605.088141723764;4025.63607872193;605.967427759416;85;11;84;12;84;13;0;8
"Livry-Gargan";93046;17421.4832118278;7736.28840740065;417.079553836348;7986.62096214031;661.580735528114;16972.3819997282;7183.88166688026;597.484392202662;7801.68145215771;711.773434217204;17346.0691930961;7441.23651654167;567.773096049112;7760.1134075005;808.25330054717;90;6;88;8;88;8;0;0
"Montfermeil";93047;8242.75283950972;3744.87608648561;234.564330053813;3507.02576849468;362.794372033379;8580.44654135323;3893.4336712729;259.26730350286;3608.20903408341;414.173692414191;9034.24746327769;4070.53980590171;287.218177658739;3756.36162918643;513.381004743508;88;7;87;8;87;9;0;12
"Montreuil";93048;40560.113777487;16812.3075070064;2365.27231365551;16884.6036843685;2459.90117952899;40670.0233236043;16560.1998341571;2769.19490335355;16424.3094004448;2971.49918297892;42006.3706096445;16728.426675445;2857.81077628134;17461.2301299952;3021.23369917293;83;12;81;14;81;14;0;0
"Neuilly-Plaisance";93049;8741.44156732494;3755.59490238607;276.834617288011;3845.17362587949;470.063453872559;8742.65475149197;3804.05951970038;268.786465095783;3916.44883185255;348.473486828596;8912.73461221646;3809.23891007593;325.244009493783;3983.45787472603;359.903962867645;87;9;88;7;87;8;-1;14
"Neuilly-sur-Marne";93050;14435.133987524;6199.22202163108;381.707519623714;6646.14312393035;644.258875232699;14638.8821689424;6319.90008253868;418.049441523993;6648.38898343347;713.860909530013;14391.8482386084;6098.63826357409;469.838623952697;6619.83703227048;654.145101195944;89;7;89;8;88;8;-1;0
"Noisy-le-Grand";93051;28002.2180045889;12224.291084193;938.848594198565;12099.6515194523;1189.11848851222;26602.9912196397;11365.8586894482;886.569851402122;11723.096213337;1188.05820526838;27915.9006903814;11828.9032042271;893.955732291559;12421.3637696266;1304.87088355951;87;8;87;8;87;8;0;0
"Noisy-le-Sec";93053;15083.1250135277;6475.04180472754;531.793762008608;6486.32747446209;831.548282172551;14652.389504454;6042.3343061213;709.124449288802;6302.58197395957;898.283876140851;15646.3381842267;6755.50578757198;792.52789932497;6369.11939597281;1024.28164014583;86;9;84;11;84;12;0;9
"Pantin";93055;20310.7429597034;8503.50947607244;1271.30307197719;8368.33440051809;1279.57058952927;20317.6653299969;8336.5258428677;1225.0355198554;8686.44501524766;1265.08708464976;23190.487218015;9765.56117655909;1461.32329096658;9425.97933647457;1572.13698054404;83;13;84;12;83;13;-1;8
"Les Pavillons-sous-Bois";93057;8430.93140190726;3637.92020741066;253.619179317659;3801.20447411658;370.628856335547;9146.95177526146;4086.87815367778;291.624279756133;4064.49191148342;384.885757762144;9329.84580449103;4095.29865407543;328.460873465594;4018.24606547277;482.90975609887;88;7;89;7;87;9;-2;29
"Pierrefitte-sur-Seine";93059;10401.6920236262;4777.19919986444;425.914034788237;4036.69402369452;526.020477108762;9773.80873511604;4581.34325918412;545.129759227973;3604.56419866429;567.628028253505;9936.29805372319;4688.71598424419;558.743042477352;3639.9061466675;559.591696285748;85;9;84;11;84;11;0;0
"Le Pré-Saint-Gervais";93061;7110.43185592966;2900.6489624724;384.456485732693;3087.41291804039;447.877517701582;7261.18423769656;2831.46580077105;442.413991050535;3300.55439148291;400.639650473746;6886.71157145557;2869.76553373095;416.974864939865;2883.86342017983;432.854480180482;84;12;84;12;84;12;0;0
"Le Raincy";93062;5304.80009406454;2135.29502910997;236.585446439775;2500.7878831882;194.764475623556;5649.33201612685;2423.16080404175;165.171720328353;2549.56551704157;266.748546645801;5804.95778952536;2379.84845187589;185.622142897566;2705.57103710275;262.500936072667;87;8;88;8;88;8;0;0
