"LIB_MOD";"CODGEO";"P13_ACTOCC15P";"P13_ACTOCC15P_COMMUN";"P13_ACTOCC15P_MARCHE";"P13_ACTOCC15P_VOITURE";"P18_ACTOCC15P";"P18_ACTOCC15P_COMMUN";"P18_ACTOCC15P_MARCHE";"P18_ACTOCC15P_VOITURE";"ETCOQ18";"ETCOQ19";"ETCOQ20";"ETCBE18";"ETCBE19";"ETCBE20";"ETCFZ18";"ETCFZ19";"ETCFZ20";"COMMUN_13_%";"MARCHE_13_%";"VOITURE_13_%";"COMMUN_18_%";"MARCHE_18_%";"VOITURE_18_%";"COMMUN_13_18_%";"MARCHE_13_18_%";"VOITURE_13_18_%";"ETCOQ18_20_%";"ETCBE18_20_%";"ETCFZ18_20_%"
"Villepinte";93078;13620.6066192117;5038.78509644182;681.637170448824;7298.34349194685;13707.3986087075;4918.18487359468;573.262301055464;7753.53604291079;35;42;47;13;17;12;55;64;56;37;5;54;36;4;57;-3;-20;6;34;-8;2
"Villetaneuse";93079;4563.56710089595;2409.94160669871;228.644506882707;1728.99769254505;4765.46757763245;2648.88830803797;196.902456572858;1717.80658717088;6;12;10;5;5;1;19;18;12;53;5;38;56;4;36;6;-20;-5;67;-80;-37
"Ablon-sur-Seine";94001;2439.7027027027;988.154954954955;115.524324324324;1200.75135135135;2622.01277980325;1135.81500829092;91.5808405754417;1262.22288967022;7;11;11;0;3;2;10;9;8;41;5;49;43;3;48;5;-40;-2;57;Inf;-20
"Alfortville";94002;20559.4653240831;10653.9501113867;1368.03015058664;6897.68226701438;20266.1224682405;11177.6298356473;1201.12818138015;6153.80030109084;55;74;63;13;26;19;82;95;82;52;7;34;55;6;30;6;-14;-12;15;46;0
"Arcueil";94003;8910.62808749588;4547.57573990662;1035.14127487549;2466.89927233145;9993.59002722396;5156.50926153433;1158.88296003057;2664.04087638267;38;46;29;5;10;9;25;20;26;51;12;28;52;12;27;2;0;-4;-24;80;4
"Boissy-Saint-Léger";94004;7152.17043886547;2957.53079188622;616.520514608822;3095.37435703064;6947.0255734554;2943.05870848737;325.86202097783;3257.20971402278;15;28;17;3;9;3;26;35;43;41;9;43;42;5;47;2;-44;9;13;0;65
"Bonneuil-sur-Marne";94011;6520.70826592475;2288.34282360406;678.443648760183;3115.67772487129;7077.757610055;3160.96901615924;525.219965980967;3075.25157893516;9;14;19;8;16;2;20;28;33;35;10;48;45;7;43;29;-30;-10;111;-75;65
"Bry-sur-Marne";94015;7997.60146569284;3718.11792939011;439.091289481309;3293.57266354725;7813.06571905685;3527.21723603986;389.662665872088;3299.08938007061;29;30;29;12;11;2;17;11;10;46;5;41;45;5;42;-2;0;2;0;-83;-41
"Cachan";94016;12240.4841029481;5872.1246255051;1142.85126501025;4101.92789282707;13258.99083796;6711.43147018502;1268.05902508168;4098.6502191355;46;51;57;14;14;15;19;27;21;48;9;34;51;10;31;6;11;-9;24;7;11
"Champigny-sur-Marne";94017;32365.1480298178;13451.4213757184;1613.86490918718;14877.4499995139;32582.8496964819;14205.8570542475;1451.77789659627;14574.7745762624;105;97;101;22;23;25;134;156;146;42;5;46;44;4;45;5;-20;-2;-4;14;9
